lat,lon,time,spatial_ref,tmax
13.5,77.5,1952-01-25,0,27.8700008392334
13.5,77.5,1952-01-26,0,27.59000015258789
13.5,77.5,1952-01-27,0,27.229999542236328
13.5,77.5,1952-01-28,0,27.469999313354492
13.5,77.5,1952-01-29,0,26.530000686645508
13.5,77.5,1952-01-30,0,26.950000762939453
13.5,77.5,1952-01-31,0,27.93000030517578
13.5,77.5,1952-02-01,0,27.739999771118164
13.5,77.5,1952-02-02,0,28.6200008392334
13.5,77.5,1952-02-03,0,27.34000015258789
13.5,77.5,1952-02-04,0,28.18000030517578
13.5,77.5,1952-02-05,0,30.399999618530273
13.5,77.5,1952-02-06,0,30.760000228881836
13.5,77.5,1952-02-07,0,30.790000915527344
13.5,77.5,1952-02-08,0,31.049999237060547
13.5,77.5,1952-02-09,0,30.139999389648438
13.5,77.5,1952-02-10,0,30.270000457763672
13.5,77.5,1952-02-11,0,31.299999237060547
13.5,77.5,1952-02-12,0,30.1299991607666
13.5,77.5,1952-02-13,0,30.690000534057617
13.5,77.5,1952-02-14,0,31.1299991607666
13.5,77.5,1952-02-15,0,31.34000015258789
13.5,77.5,1952-02-16,0,30.239999771118164
13.5,77.5,1952-02-17,0,29.829999923706055
13.5,77.5,1952-02-18,0,29.84000015258789
13.5,77.5,1952-02-19,0,31.260000228881836
13.5,77.5,1952-02-20,0,31.719999313354492
13.5,77.5,1952-02-21,0,30.809999465942383
13.5,77.5,1952-02-22,0,29.059999465942383
13.5,77.5,1952-02-23,0,28.8700008392334
13.5,77.5,1952-02-24,0,30.290000915527344
13.5,77.5,1952-02-25,0,30.309999465942383
13.5,77.5,1952-02-26,0,30.030000686645508
13.5,77.5,1952-02-27,0,30.700000762939453
13.5,77.5,1952-02-28,0,31.030000686645508
13.5,77.5,1952-02-29,0,31.329999923706055
13.5,77.5,1952-03-01,0,30.700000762939453
13.5,77.5,1952-03-02,0,31.5
13.5,77.5,1952-03-03,0,31.15999984741211
13.5,77.5,1952-03-04,0,32.310001373291016
13.5,77.5,1952-03-05,0,32.61000061035156
13.5,77.5,1952-03-06,0,33.29999923706055
13.5,77.5,1952-03-07,0,32.869998931884766
13.5,77.5,1952-03-08,0,33.349998474121094
13.5,77.5,1952-03-09,0,32.9900016784668
13.5,77.5,1952-03-10,0,33.5099983215332
13.5,77.5,1952-03-11,0,33.599998474121094
13.5,77.5,1952-03-12,0,33.810001373291016
13.5,77.5,1952-03-13,0,33.08000183105469
13.5,77.5,1952-03-14,0,32.97999954223633
13.5,77.5,1952-03-15,0,33.20000076293945
13.5,77.5,1952-03-16,0,32.869998931884766
13.5,77.5,1952-03-17,0,32.310001373291016
13.5,77.5,1952-03-18,0,33.220001220703125
13.5,77.5,1952-03-19,0,33.41999816894531
13.5,77.5,1952-03-20,0,32.630001068115234
13.5,77.5,1952-03-21,0,32.2400016784668
13.5,77.5,1952-03-22,0,31.969999313354492
13.5,77.5,1952-03-23,0,32.2400016784668
13.5,77.5,1952-03-24,0,32.709999084472656
13.5,77.5,1952-03-25,0,33.41999816894531
13.5,77.5,1952-03-26,0,34.61000061035156
13.5,77.5,1952-03-27,0,34.31999969482422
13.5,77.5,1952-03-28,0,33.81999969482422
13.5,77.5,1952-03-29,0,34.43000030517578
13.5,77.5,1952-03-30,0,34.70000076293945
13.5,77.5,1952-03-31,0,34.20000076293945
13.5,77.5,1952-04-01,0,35.060001373291016
13.5,77.5,1952-04-02,0,34.15999984741211
13.5,77.5,1952-04-03,0,34.4900016784668
13.5,77.5,1952-04-04,0,34.380001068115234
13.5,77.5,1952-04-05,0,33.34000015258789
13.5,77.5,1952-04-06,0,33.65999984741211
13.5,77.5,1952-04-07,0,33.9900016784668
13.5,77.5,1952-04-08,0,34.43000030517578
13.5,77.5,1952-04-09,0,34.540000915527344
13.5,77.5,1952-04-10,0,34.310001373291016
13.5,77.5,1952-04-11,0,34.56999969482422
13.5,77.5,1952-04-12,0,34.369998931884766
13.5,77.5,1952-04-13,0,34.849998474121094
13.5,77.5,1952-04-14,0,34.7599983215332
13.5,77.5,1952-04-15,0,34.7599983215332
13.5,77.5,1952-04-16,0,34.0
13.5,77.5,1952-04-17,0,34.11000061035156
13.5,77.5,1952-04-18,0,33.849998474121094
13.5,77.5,1952-04-19,0,34.4900016784668
13.5,77.5,1952-04-20,0,33.869998931884766
13.5,77.5,1952-04-21,0,34.11000061035156
13.5,77.5,1952-04-22,0,34.97999954223633
13.5,77.5,1952-04-23,0,35.650001525878906
13.5,77.5,1952-04-24,0,35.290000915527344
13.5,77.5,1952-04-25,0,35.36000061035156
13.5,77.5,1952-04-26,0,34.7400016784668
13.5,77.5,1952-04-27,0,34.709999084472656
13.5,77.5,1952-04-28,0,35.060001373291016
13.5,77.5,1952-04-29,0,35.47999954223633
13.5,77.5,1952-04-30,0,36.119998931884766
13.5,77.5,1952-05-01,0,36.470001220703125
13.5,77.5,1952-05-02,0,36.08000183105469
13.5,77.5,1952-05-03,0,35.630001068115234
13.5,77.5,1952-05-04,0,35.72999954223633
13.5,77.5,1952-05-05,0,35.11000061035156
13.5,77.5,1952-05-06,0,35.849998474121094
13.5,77.5,1952-05-07,0,35.20000076293945
13.5,77.5,1952-05-08,0,35.54999923706055
13.5,77.5,1952-05-09,0,34.939998626708984
13.5,77.5,1952-05-10,0,36.13999938964844
13.5,77.5,1952-05-11,0,35.36000061035156
13.5,77.5,1952-05-12,0,36.61000061035156
13.5,77.5,1952-05-13,0,34.95000076293945
13.5,77.5,1952-05-14,0,34.08000183105469
13.5,77.5,1952-05-15,0,34.970001220703125
13.5,77.5,1952-05-16,0,35.18000030517578
13.5,77.5,1952-05-17,0,35.459999084472656
13.5,77.5,1952-05-18,0,35.810001373291016
