lat,lon,time,spatial_ref,tmax
16.5,76.5,1951-06-02,0,34.68000030517578
16.5,76.5,1951-06-03,0,34.61000061035156
16.5,76.5,1951-06-04,0,36.220001220703125
16.5,76.5,1951-06-05,0,36.13999938964844
16.5,76.5,1951-06-06,0,32.52000045776367
16.5,76.5,1951-06-07,0,33.2599983215332
16.5,76.5,1951-06-08,0,34.900001525878906
16.5,76.5,1951-06-09,0,35.38999938964844
16.5,76.5,1951-06-10,0,35.7400016784668
16.5,76.5,1951-06-11,0,33.20000076293945
16.5,76.5,1951-06-12,0,33.119998931884766
16.5,76.5,1951-06-13,0,32.83000183105469
16.5,76.5,1951-06-14,0,33.959999084472656
16.5,76.5,1951-06-15,0,34.2400016784668
16.5,76.5,1951-06-16,0,31.700000762939453
16.5,76.5,1951-06-17,0,34.959999084472656
16.5,76.5,1951-06-18,0,33.36000061035156
16.5,76.5,1951-06-19,0,33.630001068115234
16.5,76.5,1951-06-20,0,32.9900016784668
16.5,76.5,1951-06-21,0,32.7400016784668
16.5,76.5,1951-06-22,0,32.099998474121094
16.5,76.5,1951-06-23,0,31.6200008392334
16.5,76.5,1951-06-24,0,30.559999465942383
16.5,76.5,1951-06-25,0,29.260000228881836
16.5,76.5,1951-06-26,0,29.530000686645508
16.5,76.5,1951-06-27,0,29.049999237060547
16.5,76.5,1951-06-28,0,30.030000686645508
16.5,76.5,1951-06-29,0,31.75
16.5,76.5,1951-06-30,0,33.099998474121094
16.5,76.5,1951-07-01,0,33.97999954223633
16.5,76.5,1951-07-02,0,34.560001373291016
16.5,76.5,1951-07-03,0,35.06999969482422
16.5,76.5,1951-07-04,0,33.61000061035156
16.5,76.5,1951-07-05,0,33.189998626708984
16.5,76.5,1951-07-06,0,32.9900016784668
16.5,76.5,1951-07-07,0,32.54999923706055
16.5,76.5,1951-07-08,0,32.130001068115234
16.5,76.5,1951-07-09,0,29.049999237060547
16.5,76.5,1951-07-10,0,33.439998626708984
16.5,76.5,1951-07-11,0,34.54999923706055
16.5,76.5,1951-07-12,0,34.040000915527344
16.5,76.5,1951-07-13,0,29.18000030517578
16.5,76.5,1951-07-14,0,30.520000457763672
16.5,76.5,1951-07-15,0,32.0
16.5,76.5,1951-07-16,0,33.08000183105469
16.5,76.5,1951-07-17,0,32.630001068115234
16.5,76.5,1951-07-18,0,30.690000534057617
16.5,76.5,1951-07-19,0,28.239999771118164
16.5,76.5,1951-07-20,0,26.899999618530273
16.5,76.5,1951-07-21,0,26.899999618530273
16.5,76.5,1951-07-22,0,28.1299991607666
16.5,76.5,1951-07-23,0,28.239999771118164
16.5,76.5,1951-07-24,0,29.100000381469727
16.5,76.5,1951-07-25,0,28.3799991607666
16.5,76.5,1951-07-26,0,26.90999984741211
16.5,76.5,1951-07-27,0,28.030000686645508
